household_id,gender_household_head,age_household_head,caste_household,education_level_household_head,income_level_household,size_household,is_bank_account_present_in_household
101,Male,31.0,Rai,Illiterate,Rs. 10 thousand,3.0,0.0
201,Female,62.0,Rai,Illiterate,Rs. 10 thousand,6.0,0.0
301,Male,51.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,13.0,0.0
401,Male,48.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,5.0,0.0
501,Male,70.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,8.0,0.0
601,Male,52.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,6.0,0.0
701,Male,27.0,Gharti/Bhujel,Class 5,Rs. 10-20 thousand,5.0,0.0
801,Male,31.0,Gharti/Bhujel,Class 4,Rs. 10 thousand,5.0,0.0
901,Male,44.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,9.0,0.0
1001,Male,34.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,6.0,0.0
1101,Female,35.0,Brahman-Hill,SLC or equivalent,Rs. 10-20 thousand,4.0,1.0
1201,Male,38.0,Brahman-Hill,Class 10,Rs. 10-20 thousand,5.0,1.0
1301,Male,46.0,Brahman-Hill,Class 9,Rs. 10-20 thousand,4.0,1.0
1401,Female,49.0,Brahman-Hill,Non-formal education,Rs. 20-30 thousand,6.0,1.0
1501,Male,63.0,Brahman-Hill,Non-formal education,Rs. 20-30 thousand,5.0,1.0
1601,Female,34.0,Brahman-Hill,Non-formal education,Rs. 20-30 thousand,5.0,1.0
1701,Female,71.0,Brahman-Hill,Illiterate,Rs. 10 thousand,1.0,1.0
1801,Female,84.0,Brahman-Hill,Class 10,Rs. 10 thousand,1.0,0.0
1901,Male,59.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,5.0,1.0
2001,Male,55.0,Brahman-Hill,Intermediate or equivalent,Rs. 30-50 thousand,2.0,1.0
2101,Male,61.0,Brahman-Hill,Illiterate,Rs. 10 thousand,6.0,1.0
2201,Female,34.0,Sanyasi/Dashnami,Non-formal education,Rs. 10 thousand,5.0,1.0
2301,Male,57.0,Brahman-Hill,Non-formal education,Rs. 20-30 thousand,8.0,1.0
2401,Female,34.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,6.0,1.0
2501,Male,52.0,Brahman-Hill,Class 10,Rs. 20-30 thousand,8.0,1.0
2601,Male,31.0,Brahman-Hill,SLC or equivalent,Rs. 10 thousand,4.0,1.0
2701,Female,43.0,Brahman-Hill,Non-formal education,Rs. 10-20 thousand,7.0,1.0
2801,Female,57.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,1.0,0.0
2901,Male,65.0,Brahman-Hill,Class 7,Rs. 10-20 thousand,8.0,1.0
3001,Female,50.0,Brahman-Hill,Non-formal education,Rs. 20-30 thousand,5.0,1.0
3101,Female,32.0,Gharti/Bhujel,Class 2,Rs. 10-20 thousand,5.0,0.0
3201,Female,58.0,Brahman-Hill,Class 10,Rs. 20-30 thousand,3.0,1.0
3301,Male,38.0,Brahman-Hill,Class 7,Rs. 10-20 thousand,5.0,1.0
