date,open,high,low,close,volume
2005-01-03,405.0001,409.5001,403.1001,407.6001,1061050.0
2005-01-04,410.0001,429.0001,409.0001,425.8501,2501549.0
2005-01-05,427.0001,439.9001,406.1501,425.9501,3537669.0
2005-01-06,426.0001,431.0001,412.0001,416.0501,3103853.0
2005-01-07,420.0001,428.5001,418.0001,426.3001,2330736.0
2005-01-10,429.9501,438.0001,415.0001,417.6501,1850442.0
2005-01-11,420.0001,420.0001,402.5501,404.8001,2747594.0
2005-01-12,406.0001,417.2501,398.0001,400.7001,3420474.0
2005-01-13,402.0001,430.0001,402.0001,425.1501,4149625.0
2005-01-14,427.0001,438.5001,420.4001,425.3001,4278746.0
2005-01-17,420.1001,437.0001,419.0001,434.4001,3757899.0
2005-01-18,438.0001,444.0001,436.0001,441.0001,3355718.0
2005-01-19,442.0001,449.5001,439.5501,445.3501,3189361.0
2005-01-20,448.5001,448.5001,418.1001,423.5001,16077468.0
2005-01-24,435.0001,435.0001,408.5501,413.8001,5339188.0
2005-01-25,413.1001,417.0001,404.0501,415.6001,5910262.0
2005-01-27,416.5001,421.9501,411.7501,419.6501,2529036.0
2005-01-28,419.0001,450.0001,419.0001,447.8501,5080153.0
2005-01-31,449.5001,468.8001,445.2001,449.2001,3301913.0
2005-02-01,453.0001,454.0001,439.0001,447.9501,2475111.0
2005-02-02,450.0001,455.0001,445.1001,452.8001,2132983.0
2005-02-03,456.9001,459.8501,454.0001,457.5001,1937930.0
2005-02-04,461.0001,462.0001,451.3501,455.9001,1868082.0
2005-02-07,460.0001,462.2501,452.1001,455.0001,1767169.0
2005-02-08,455.0001,457.9001,451.0001,453.3501,3099848.0
2005-02-09,454.0001,457.9001,453.7501,456.0501,711729.0
2005-02-10,458.0001,460.2001,452.0001,453.4001,881402.0
2005-02-11,458.0001,458.0001,450.0001,451.5001,646727.0
2005-02-14,455.0001,455.0001,445.0001,446.9501,591714.0
2005-02-15,448.0001,449.8001,443.2501,447.7001,614634.0
2005-02-16,450.1001,452.0001,439.0501,443.1501,545851.0
2005-02-17,441.0001,443.0001,436.2001,441.0501,929912.0
2005-02-18,441.0001,444.0001,436.0001,436.8001,428649.0
2005-02-21,437.2501,441.0001,431.0001,438.7501,1644747.0
2005-02-22,436.5001,444.9001,435.0001,443.6501,962342.0
2005-02-23,441.0001,445.8501,436.5001,438.0501,721037.0
2005-02-24,438.0501,439.5001,427.0001,428.4501,2733224.0
2005-02-25,432.2501,436.8501,429.3001,433.8501,1046538.0
2005-02-28,435.5001,451.1001,434.2501,449.3501,2526711.0
2005-03-01,448.5001,452.0001,438.2501,439.8501,667052.0
2005-03-02,441.8001,447.8001,441.0001,442.6001,500724.0
2005-03-03,443.7001,447.7501,443.0001,446.4501,558504.0
2005-03-04,448.0001,452.9001,446.0001,448.5001,880307.0
2005-03-07,449.8001,450.0001,440.0001,442.9501,382666.0
2005-03-08,444.8501,450.0001,442.5001,449.8001,945122.0
2005-03-09,449.9001,451.5001,440.2501,443.5501,1107205.0
2005-03-10,441.1001,445.4001,438.6001,440.4501,1119753.0
